	ResponseId	MainBranch	Employment	Country	US_State	UK_Country	EdLevel	Age1stCode	LearnCode	YearsCode	YearsCodePro	DevType	OrgSize	Currency	CompTotal	CompFreq	LanguageHaveWorkedWith	LanguageWantToWorkWith	DatabaseHaveWorkedWith	DatabaseWantToWorkWith	PlatformHaveWorkedWith	PlatformWantToWorkWith	WebframeHaveWorkedWith	WebframeWantToWorkWith	MiscTechHaveWorkedWith	MiscTechWantToWorkWith	ToolsTechHaveWorkedWith	ToolsTechWantToWorkWith	NEWCollabToolsHaveWorkedWith	NEWCollabToolsWantToWorkWith	OpSys	NEWStuck	NEWSOSites	SOVisitFreq	SOAccount	SOPartFreq	SOComm	NEWOtherComms	Age	Gender	Trans	Sexuality	Ethnicity	Accessibility	MentalHealth	SurveyLength	SurveyEase	ConvertedCompYearly
68849	68850	I am a developer by profession	Employed full-time	Pakistan			Bachelor’s degree (B.A., B.S., B.Eng., etc.)	11 - 17 years	Other online resources (ex: videos, blogs, etc);Online Forum;Colleague;Books / Physical media	15	10	Developer, full-stack	2 to 9 employees	"PKR	Pakistani rupee"		Monthly	C;HTML/CSS;JavaScript;PHP	HTML/CSS;JavaScript;PHP	MySQL	MySQL	AWS;Google Cloud Platform	AWS;Google Cloud Platform;Microsoft Azure	jQuery	jQuery					NetBeans;Notepad++;PHPStorm	NetBeans;Notepad++;PHPStorm	Windows	Visit Stack Overflow;Google it;Watch help / tutorial videos	Stack Overflow;Stack Exchange	Multiple times per day	Yes	I have never participated in Q&A on Stack Overflow	Not sure	No	25-34 years old	Man	No	Straight / Heterosexual	South Asian	None of the above	None of the above	Appropriate in length	Easy	
68955	68956	I am a developer by profession	Employed full-time	Pakistan			Bachelor’s degree (B.A., B.S., B.Eng., etc.)	18 - 24 years	Other online resources (ex: videos, blogs, etc);School;Online Forum;Friend or family member;Online Courses or Certification;Colleague;Books / Physical media	3	2	Developer, full-stack;Developer, back-end	1,000 to 4,999 employees	"PKR	Pakistani rupee"	50.0	Monthly	HTML/CSS;Java;JavaScript;PHP;SQL	HTML/CSS;Java;JavaScript;PHP;Python;SQL	Elasticsearch;MariaDB;Microsoft SQL Server;MySQL	Elasticsearch;MariaDB;MySQL	AWS;IBM Cloud or Watson	AWS;IBM Cloud or Watson	jQuery	jQuery	Keras;NumPy;Pandas;TensorFlow	Keras;NumPy;Pandas;TensorFlow	Docker;Git	Docker;Git	Android Studio;Atom;Eclipse;IPython/Jupyter;NetBeans;Notepad++;Sublime Text;Vim	IPython/Jupyter;Notepad++;PyCharm;Sublime Text;Vim	Windows	Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos	Stack Overflow;Stack Exchange	Daily or almost daily	Yes	I have never participated in Q&A on Stack Overflow	Neutral	No	18-24 years old	Man	No		South Asian	None of the above	None of the above	Appropriate in length	Neither easy nor difficult	
68965	68966	I am a developer by profession	Independent contractor, freelancer, or self-employed	Pakistan			Some college/university study without earning a degree	11 - 17 years	Online Forum;Online Courses or Certification;Books / Physical media	29	25	Developer, desktop or enterprise applications;Other (please specify):;Database administrator;Data or business analyst	20 to 99 employees	"PKR	Pakistani rupee"			C#;C++;HTML/CSS;PHP;SQL;VBA	C#;F#;HTML/CSS;Python;R;SQL	Firebase;MariaDB;Microsoft SQL Server;MySQL;SQLite	Microsoft SQL Server;MongoDB;MySQL;SQLite			ASP.NET;ASP.NET Core ;jQuery;Laravel	Angular;ASP.NET;ASP.NET Core ;React.js;Vue.js	.NET Framework;.NET Core / .NET 5	.NET Framework;.NET Core / .NET 5;Apache Spark	Git;Xamarin	Docker;Git;Kubernetes;Unity 3D;Xamarin	Notepad++;PHPStorm;PyCharm;Visual Studio;Visual Studio Code	Notepad++;PHPStorm;Visual Studio;Visual Studio Code	Windows	Visit Stack Overflow;Google it;Watch help / tutorial videos;Meditate;Visit another developer community (please name):	Stack Overflow;Stack Exchange	Multiple times per day	Yes	A few times per month or weekly	Yes, somewhat	Yes	35-44 years old	Man	No	Straight / Heterosexual	Southeast Asian	None of the above	None of the above	Appropriate in length	Easy	
69390	69391	I am a developer by profession	Independent contractor, freelancer, or self-employed	Pakistan			Bachelor’s degree (B.A., B.S., B.Eng., etc.)	25 - 34 years	Online Courses or Certification	Less than 1 year	Less than 1 year	Developer, front-end;Developer, back-end;Student	Just me - I am a freelancer, sole proprietor, etc.	"USD	United States dollar"	0.0	Weekly	HTML/CSS;JavaScript;Node.js	Go;Python;TypeScript	MongoDB	PostgreSQL	Heroku	AWS	Express;React.js	Django			Git	Chef;Docker	Visual Studio;Visual Studio Code		MacOS	Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later	Stack Overflow	Multiple times per day	Yes	A few times per week	Yes, somewhat	No	25-34 years old	Man	No	Straight / Heterosexual	South Asian	None of the above	None of the above	Appropriate in length	Easy	
69402	69403	I am a student who is learning to code	Student, full-time	Pakistan			Some college/university study without earning a degree	18 - 24 years	Other online resources (ex: videos, blogs, etc);School;Friend or family member;Online Courses or Certification;Books / Physical media	1							C;C++;HTML/CSS;Java;JavaScript;Python;SQL	C;C++;HTML/CSS;Java;JavaScript;Python;SQL							Flutter	.NET Framework;.NET Core / .NET 5;Flutter			PyCharm;Visual Studio;Visual Studio Code	Android Studio;IPython/Jupyter;PyCharm;Visual Studio;Visual Studio Code;Xcode	Windows	Visit Stack Overflow;Google it;Watch help / tutorial videos	Stack Overflow	Less than once per month or monthly	No		Yes, somewhat	Yes	18-24 years old	Man	No	Straight / Heterosexual	Middle Eastern	None of the above	Prefer not to say	Appropriate in length	Neither easy nor difficult	
69448	69449	I am a developer by profession	Employed full-time	Pakistan			Bachelor’s degree (B.A., B.S., B.Eng., etc.)	18 - 24 years	School	4	Less than 1 year	Developer, full-stack	100 to 499 employees	"PKR	Pakistani rupee"	105000.0	Monthly	C#;C++;HTML/CSS;JavaScript;PHP;Python;SQL	C#;Python	Microsoft SQL Server;MySQL;Oracle;PostgreSQL;SQLite	Microsoft SQL Server;MongoDB;MySQL;PostgreSQL			ASP.NET;jQuery;React.js	ASP.NET;Django;Flask;jQuery	.NET Framework;Keras;NumPy;Pandas;TensorFlow	.NET Framework;.NET Core / .NET 5;Keras;NumPy;Pandas;TensorFlow	Git	Git	IntelliJ;IPython/Jupyter;Notepad++;PyCharm;Visual Studio;Visual Studio Code	IPython/Jupyter;PyCharm;Visual Studio;Visual Studio Code;Xcode	Windows	Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later;Meditate	Stack Overflow;Stack Exchange	Daily or almost daily	Yes	Less than once per month or monthly	Yes, definitely	No	18-24 years old	Man	No	Straight / Heterosexual	South Asian		None of the above	Appropriate in length	Easy	8172.0
69667	69668	I am a developer by profession	Employed full-time	Pakistan			Bachelor’s degree (B.A., B.S., B.Eng., etc.)	25 - 34 years	Other online resources (ex: videos, blogs, etc);Online Forum;Online Courses or Certification	11	9	Developer, mobile;Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end;Scientist;Developer, game or graphics;Developer, embedded applications or devices;Product manager	10 to 19 employees	"PKR	Pakistani rupee"	290000.0	Monthly	C#;HTML/CSS;Java;JavaScript;Kotlin;Node.js;Objective-C;Python;Swift	C#;JavaScript;Kotlin;Node.js;Objective-C;PHP;Python;Swift	Firebase;MongoDB;MySQL	Firebase;MongoDB;MySQL	Google Cloud Platform	AWS;Google Cloud Platform	Angular;Angular.js;ASP.NET;ASP.NET Core ;Express;Laravel;React.js	Django;Express;Laravel;React.js;Vue.js	.NET Framework;.NET Core / .NET 5;React Native	Flutter;React Native	Git;Unity 3D;Yarn	Git;Unity 3D;Yarn	Android Studio;Atom;Eclipse;IntelliJ;PHPStorm;PyCharm;Sublime Text;Vim;Visual Studio;Visual Studio Code;Webstorm;Xcode	Android Studio;PyCharm;Sublime Text;Vim;Visual Studio;Visual Studio Code;Webstorm;Xcode	MacOS	Visit Stack Overflow;Go for a walk or other physical activity;Google it	Stack Overflow	Daily or almost daily	Yes	Less than once per month or monthly	Yes, definitely	Yes	25-34 years old	Man	No	Straight / Heterosexual	South Asian	None of the above	None of the above	Appropriate in length	Easy	22572.0
69777	69778	I am a developer by profession	Employed full-time	Pakistan			Bachelor’s degree (B.A., B.S., B.Eng., etc.)	11 - 17 years	School;Friend or family member	12	17	Developer, front-end;Developer, full-stack;Developer, back-end	100 to 499 employees	"PKR	Pakistani rupee"	210000.0	Monthly	C;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript	C;Go;HTML/CSS;JavaScript;Node.js;PHP;Python;Ruby;Rust;SQL;TypeScript	DynamoDB;Firebase;Microsoft SQL Server;MySQL;PostgreSQL	Firebase;PostgreSQL;Redis	AWS;DigitalOcean;Google Cloud Platform;Heroku	AWS;DigitalOcean;Google Cloud Platform	Django;Flask;jQuery;Laravel;React.js;Vue.js	jQuery;Laravel;React.js;Ruby on Rails;Symfony			Git	Git	Android Studio;Atom;Notepad++;Sublime Text;Vim;Visual Studio;Visual Studio Code	Sublime Text;Vim;Visual Studio Code	MacOS	Go for a walk or other physical activity;Do other work and come back later;Play games;Panic	Stack Overflow;Stack Exchange	A few times per month or weekly	Yes	Less than once per month or monthly	No, not really	No	25-34 years old	Man	No	Straight / Heterosexual	South Asian	None of the above	None of the above	Appropriate in length	Easy	16344.0
69903	69904	I am a developer by profession	Employed full-time	Pakistan			Bachelor’s degree (B.A., B.S., B.Eng., etc.)		School	7	3	Developer, front-end;Developer, full-stack;Developer, back-end		"PKR	Pakistani rupee"			C#;Clojure;Delphi;Haskell;HTML/CSS;JavaScript;Node.js;SQL;TypeScript	C#;Dart;HTML/CSS;JavaScript;Node.js;TypeScript	DynamoDB;Microsoft SQL Server;MongoDB;MySQL	DynamoDB	AWS;Microsoft Azure	AWS;Microsoft Azure	ASP.NET;ASP.NET Core ;Express;jQuery;React.js	ASP.NET Core ;Express;React.js	.NET Framework;.NET Core / .NET 5	.NET Core / .NET 5;Flutter;React Native			Notepad++;Visual Studio;Visual Studio Code	Notepad++;Visual Studio Code	Windows	Visit Stack Overflow;Google it;Watch help / tutorial videos	Stack Overflow	Daily or almost daily	Yes			No	25-34 years old	Man	No	Straight / Heterosexual				Too long	Neither easy nor difficult	
70082	70083	I am a developer by profession	Employed full-time	Pakistan			Bachelor’s degree (B.A., B.S., B.Eng., etc.)	11 - 17 years	Other online resources (ex: videos, blogs, etc);School;Books / Physical media	10	2	Data scientist or machine learning specialist	10,000 or more employees	"PKR	Pakistani rupee"	440000.0	Monthly	Bash/Shell;Python	Bash/Shell;Python;R	Microsoft SQL Server;PostgreSQL	PostgreSQL			Flask		NumPy;Pandas	Keras;TensorFlow;Torch/PyTorch	Git	Docker;Git	IPython/Jupyter;Sublime Text;Visual Studio Code	IPython/Jupyter;PyCharm;RStudio;Sublime Text;Visual Studio Code	Linux-based	Call a coworker or friend;Visit Stack Overflow;Google it;Watch help / tutorial videos;Play games	Stack Overflow;Stack Exchange	Multiple times per day	Yes	Multiple times per day	Yes, definitely	Yes	25-34 years old	Man	No	Straight / Heterosexual	South Asian	None of the above	None of the above	Appropriate in length	Neither easy nor difficult	34236.0
70107	70108	I am a student who is learning to code	Student, full-time	Pakistan			Some college/university study without earning a degree	18 - 24 years	School	Less than 1 year																			Visual Studio;Visual Studio Code	Android Studio	Windows	Visit Stack Overflow;Watch help / tutorial videos	Stack Overflow	A few times per week	No		Not sure	No	18-24 years old	Man	No	Straight / Heterosexual	South Asian	None of the above	None of the above	Appropriate in length	Easy	
70290	70291	I am a student who is learning to code	Student, full-time	Pakistan			Bachelor’s degree (B.A., B.S., B.Eng., etc.)	11 - 17 years	Coding Bootcamp;Other online resources (ex: videos, blogs, etc);School;Friend or family member;Online Courses or Certification;Books / Physical media	4							Bash/Shell;C;C#;HTML/CSS;Java;JavaScript;SQL	APL;Assembly;F#;Java;PHP;PowerShell;Python	Firebase;Microsoft SQL Server;MySQL	Firebase			ASP.NET	Angular;Flask;React.js	.NET Framework	Apache Spark;Flutter;React Native	Git	Ansible;Docker;Flow;Puppet;Terraform;Unity 3D;Xamarin	Android Studio;IntelliJ;Notepad++	Android Studio;IntelliJ;Notepad++	Windows	Call a coworker or friend;Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later	Stack Overflow;Stack Exchange;Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies)	A few times per month or weekly	Yes	A few times per month or weekly	Yes, somewhat	No	18-24 years old	Woman	No	Straight / Heterosexual	East Asian	None of the above	None of the above	Appropriate in length	Easy	
70455	70456	I am a student who is learning to code	Independent contractor, freelancer, or self-employed	Pakistan			Bachelor’s degree (B.A., B.S., B.Eng., etc.)	18 - 24 years	School	15		Developer, mobile;Developer, front-end;Developer, back-end;Database administrator;Scientist;Student					Bash/Shell;C;C#;C++;HTML/CSS;Java;JavaScript;Kotlin;Objective-C;PHP;Python;SQL;Swift	Go;R;Ruby	Firebase;MongoDB;MySQL;Oracle;SQLite	PostgreSQL	AWS;Google Cloud Platform;Heroku	DigitalOcean;Microsoft Azure	Django;Flask;Laravel		Flutter;Hadoop;NumPy;Pandas;Torch/PyTorch	Keras;TensorFlow;Torch/PyTorch	Docker;Git;Yarn	Kubernetes;Terraform;Unity 3D;Unreal Engine;Yarn	Android Studio;Atom;IntelliJ;IPython/Jupyter;PyCharm;RStudio;Sublime Text;Visual Studio Code;Xcode		Linux-based	Call a coworker or friend	Stack Overflow	Multiple times per day	Yes	A few times per month or weekly	Neutral	Yes	18-24 years old	Man	No	Straight / Heterosexual	South Asian	I am blind / have difficulty seeing	None of the above	Too long	Easy	
70506	70507	I am a developer by profession	Independent contractor, freelancer, or self-employed	Pakistan			Other doctoral degree (Ph.D., Ed.D., etc.)	18 - 24 years	Books / Physical media	10	5	Developer, mobile;Developer, full-stack;Academic researcher	2 to 9 employees	"USD	United States dollar"		Monthly	C++;JavaScript;PHP;Python	C++;PHP;Python	MariaDB;Microsoft SQL Server;MySQL;SQLite	MariaDB;Microsoft SQL Server;MySQL;SQLite	Heroku	DigitalOcean;Microsoft Azure	ASP.NET Core ;Django;jQuery;Laravel	ASP.NET Core ;Django;jQuery	Flutter;NumPy	.NET Core / .NET 5;Flutter	Xamarin		Android Studio;Notepad++;PHPStorm;PyCharm;Visual Studio;Visual Studio Code	Android Studio;PHPStorm;PyCharm;Visual Studio;Visual Studio Code	Windows	Google it;Meditate;Panic	Stack Overflow;Stack Exchange;Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies)	Daily or almost daily	No		No, not at all	Yes	25-34 years old	Man	No	Straight / Heterosexual	South Asian	None of the above	I have an anxiety disorder	Appropriate in length	Easy	
70533	70534	I am a developer by profession	Employed full-time	Pakistan			Bachelor’s degree (B.A., B.S., B.Eng., etc.)	18 - 24 years	Colleague	8	4	Developer, full-stack	500 to 999 employees	"PKR	Pakistani rupee"	2500000.0	Yearly	HTML/CSS;JavaScript;Python;TypeScript	JavaScript;Python;Rust;TypeScript	MySQL;Redis	Elasticsearch;MongoDB;MySQL	DigitalOcean;Heroku	AWS;DigitalOcean	Django;Gatsby;jQuery;React.js	ASP.NET Core ;Django;Gatsby;jQuery;React.js;Ruby on Rails;Vue.js			Git	Docker;Git	PyCharm;Visual Studio Code	PyCharm;Visual Studio Code	Linux-based	Call a coworker or friend;Visit Stack Overflow;Google it;Watch help / tutorial videos	Stack Overflow;Stack Exchange	Multiple times per day	Yes	A few times per month or weekly	Yes, definitely	No	25-34 years old	Man	No	Straight / Heterosexual	South Asian	None of the above	None of the above	Appropriate in length	Neither easy nor difficult	16213.0
70549	70550	I am a developer by profession	Not employed, but looking for work	Pakistan			Bachelor’s degree (B.A., B.S., B.Eng., etc.)	25 - 34 years	Coding Bootcamp;Other online resources (ex: videos, blogs, etc);School;Online Courses or Certification	6		Developer, full-stack					C++;HTML/CSS;Node.js;Python;SQL;TypeScript	C++;HTML/CSS;Node.js;Python;SQL;TypeScript	IBM DB2;MariaDB;MongoDB;MySQL;Oracle	IBM DB2;MySQL	Heroku		Angular;Express;jQuery	Angular;Express			Git		Atom	Atom	Windows	Visit Stack Overflow;Google it	Stack Overflow;Stack Exchange	Daily or almost daily	Yes	Daily or almost daily	Yes, definitely	No	25-34 years old	Man	No	Straight / Heterosexual	South Asian	None of the above	None of the above	Appropriate in length	Easy	
70561	70562	I am a developer by profession	Employed full-time	Pakistan			Bachelor’s degree (B.A., B.S., B.Eng., etc.)	18 - 24 years	Other online resources (ex: videos, blogs, etc);School;Online Forum;Online Courses or Certification	5	1	Developer, back-end	20 to 99 employees	"PKR	Pakistani rupee"	55000.0	Monthly	JavaScript;Node.js;SQL;TypeScript	JavaScript;Node.js;SQL;TypeScript	MySQL;PostgreSQL	MySQL;PostgreSQL	AWS;DigitalOcean;Heroku	AWS	Angular;Angular.js;Express;React.js	Django;Express;React.js;Vue.js			Docker;Git	Deno;Docker;Git;Kubernetes	Visual Studio Code	Visual Studio Code	Windows	Google it;Do other work and come back later	Stack Overflow;Stack Exchange	A few times per month or weekly	Yes	Less than once per month or monthly	Neutral	No	18-24 years old	Man	No	Straight / Heterosexual	Southeast Asian	None of the above	None of the above	Appropriate in length	Easy	4284.0
70587	70588	I am a developer by profession	Employed full-time	Pakistan			Bachelor’s degree (B.A., B.S., B.Eng., etc.)	18 - 24 years	School;Online Forum;Colleague;Books / Physical media	5	1	Developer, back-end	10 to 19 employees	"PKR	Pakistani rupee"	10000.0	Monthly	C;C#;C++;HTML/CSS;JavaScript;Matlab;PHP;SQL	HTML/CSS;JavaScript;PHP;SQL	MySQL	MySQL			jQuery;Laravel	jQuery;Laravel;Vue.js					Notepad++;Sublime Text;Visual Studio Code	Sublime Text;Visual Studio Code	Windows	Call a coworker or friend;Visit Stack Overflow;Google it;Panic	Stack Overflow	Multiple times per day	Yes	Less than once per month or monthly	Yes, somewhat	No	18-24 years old	Man	No	Straight / Heterosexual;Bisexual	South Asian	None of the above	I have a mood or emotional disorder (e.g. depression, bipolar disorder)	Appropriate in length	Neither easy nor difficult	780.0
70640	70641	I am a developer by profession	Employed full-time	Pakistan			Bachelor’s degree (B.A., B.S., B.Eng., etc.)	5 - 10 years	Friend or family member	20	10	Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end;Developer, embedded applications or devices	20 to 99 employees	"PKR	Pakistani rupee"	150000.0	Monthly	C#;HTML/CSS;JavaScript;SQL	C#;HTML/CSS;Java;JavaScript;Node.js;Python;SQL;TypeScript	Microsoft SQL Server	MariaDB;Microsoft SQL Server;MySQL;PostgreSQL			ASP.NET;jQuery	Angular;Angular.js;ASP.NET;ASP.NET Core ;jQuery;React.js;Spring	.NET Framework	.NET Framework;Flutter;React Native			Notepad++;Visual Studio	IntelliJ;Notepad++;Visual Studio;Visual Studio Code	Windows	Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Do other work and come back later	Stack Overflow;Stack Exchange	Multiple times per day	No		No, not really	No	35-44 years old	Man	No	Straight / Heterosexual	South Asian	None of the above	None of the above	Appropriate in length	Easy	11676.0
70715	70716	I am a student who is learning to code	Not employed, but looking for work	Pakistan			Bachelor’s degree (B.A., B.S., B.Eng., etc.)	11 - 17 years	Coding Bootcamp;Other online resources (ex: videos, blogs, etc);Friend or family member;Online Courses or Certification	2		Developer, mobile;Student;Designer					C++;Dart;HTML/CSS;Java;Python;SQL	Dart;HTML/CSS;Java;Python;SQL	Firebase;Microsoft SQL Server;MySQL;SQLite	Firebase;Microsoft SQL Server;MySQL;SQLite	Google Cloud Platform	Google Cloud Platform	Flask	Flask	Flutter	Flutter	Git	Git	Android Studio;NetBeans;Visual Studio;Visual Studio Code	Visual Studio;Visual Studio Code	Windows	Call a coworker or friend;Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later;Visit another developer community (please name):	Stack Overflow	Multiple times per day	Yes	Less than once per month or monthly	Yes, definitely	No	18-24 years old	Man			South Asian;Or, in your own words:	None of the above	None of the above	Appropriate in length	Easy	
70747	70748	I code primarily as a hobby	Not employed, but looking for work	Pakistan			Primary/elementary school	11 - 17 years	Other online resources (ex: videos, blogs, etc);Online Forum	3		Developer, game or graphics					C#;HTML/CSS;JavaScript;Python	C#;HTML/CSS;JavaScript;Python	SQLite	SQLite			Django	Django			Git;Unity 3D	Git;Unity 3D	Android Studio;PyCharm;Visual Studio;Visual Studio Code	PyCharm;Visual Studio;Visual Studio Code	Windows	Visit Stack Overflow;Go for a walk or other physical activity;Google it;Do other work and come back later;Play games;Panic	Stack Overflow;Stack Exchange	Multiple times per day	Yes	A few times per week	Yes, definitely	Yes	Under 18 years old	Man	No	Straight / Heterosexual	South Asian	None of the above	None of the above	Appropriate in length	Easy	
70761	70762	I am a developer by profession	Employed full-time	Pakistan			Bachelor’s degree (B.A., B.S., B.Eng., etc.)	18 - 24 years	School	5	1	Developer, full-stack	20 to 99 employees	"PKR	Pakistani rupee"	60000.0	Monthly	Ruby	Ruby	PostgreSQL	PostgreSQL	Heroku		Ruby on Rails	Ruby on Rails			Docker;Git;Yarn	Docker;Git;Kubernetes	Atom	Atom;RubyMine	Linux-based	Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Google it;Do other work and come back later;Play games;Visit another developer community (please name):	Stack Overflow;Stack Exchange	Multiple times per day	Yes	A few times per month or weekly	Yes, definitely	No	25-34 years old	Man	No		South Asian	None of the above	None of the above	Appropriate in length	Easy	4668.0
70795	70796	I am a developer by profession	Employed full-time	Pakistan			Bachelor’s degree (B.A., B.S., B.Eng., etc.)	18 - 24 years	Other online resources (ex: videos, blogs, etc);School;Online Forum;Online Courses or Certification;Books / Physical media	10	6	Developer, mobile;Developer, front-end;Developer, desktop or enterprise applications;Developer, back-end;Database administrator;Student;Developer, QA or test	10 to 19 employees	"PKR	Pakistani rupee"		Monthly	C#;JavaScript;Kotlin;SQL	C#;JavaScript;Kotlin;Node.js;TypeScript	MariaDB;Microsoft SQL Server;MySQL	Firebase;Microsoft SQL Server	AWS	AWS;Microsoft Azure	ASP.NET;jQuery	Angular;ASP.NET Core ;React.js;Vue.js	.NET Framework	.NET Core / .NET 5;React Native			Android Studio;Visual Studio	Android Studio;Visual Studio;Visual Studio Code	Windows	Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos	Stack Overflow;Stack Exchange	Multiple times per day	Yes	A few times per month or weekly	Yes, somewhat	No	25-34 years old	Man	No		Southeast Asian	None of the above	None of the above	Appropriate in length	Easy	
70874	70875	I am a developer by profession	Employed full-time	Pakistan			Master’s degree (M.A., M.S., M.Eng., MBA, etc.)	18 - 24 years	School;Online Forum;Online Courses or Certification;Books / Physical media	10	10	Developer, mobile;Developer, full-stack	10 to 19 employees	"PKR	Pakistani rupee"	200000.0	Monthly	PHP	C++;PHP;Python;Swift	Firebase;MariaDB;MongoDB;MySQL	Firebase;MariaDB;MongoDB;MySQL;SQLite	AWS	AWS;Microsoft Azure	Angular;jQuery;Laravel	Angular;jQuery;Laravel	React Native	Flutter;React Native	Git	Git;Kubernetes	Android Studio;Eclipse;NetBeans;Notepad++;PHPStorm;Visual Studio;Xcode	Android Studio;IPython/Jupyter;NetBeans;PHPStorm;Xcode	MacOS	Visit Stack Overflow;Google it;Watch help / tutorial videos	Stack Overflow;Stack Exchange	Daily or almost daily	Yes	A few times per month or weekly	Yes, somewhat	Yes	25-34 years old	Man	No	Straight / Heterosexual	Or, in your own words:	None of the above	None of the above	Too long	Neither easy nor difficult	15564.0
70973	70974	I am a developer by profession	Employed full-time	Pakistan			Bachelor’s degree (B.A., B.S., B.Eng., etc.)	11 - 17 years	School	5	3	Engineer, data	10 to 19 employees	"PKR	Pakistani rupee"	150000.0	Monthly	Assembly;C;C#;C++;Dart;HTML/CSS;Java;JavaScript;Matlab;PHP;Python;Scala;SQL;TypeScript	Python;Scala;TypeScript	Cassandra;DynamoDB;Elasticsearch;MongoDB;MySQL;Oracle;PostgreSQL;Redis;SQLite	DynamoDB;MongoDB;MySQL;PostgreSQL	AWS;DigitalOcean;Heroku	AWS;DigitalOcean	Angular;Angular.js;ASP.NET;ASP.NET Core ;Django;Express;Flask;Laravel;React.js	Express;Laravel;React.js	.NET Framework;Flutter	Flutter;TensorFlow	Docker;Git	Docker;Git	Android Studio;Eclipse;IntelliJ;NetBeans;PyCharm;Sublime Text;Vim;Visual Studio;Visual Studio Code	Visual Studio Code	Linux-based	Visit Stack Overflow;Google it;Play games	Stack Overflow	Daily or almost daily	Yes	Less than once per month or monthly	Neutral	No	18-24 years old	Man	No	Bisexual	East Asian	I am blind / have difficulty seeing	I have a mood or emotional disorder (e.g. depression, bipolar disorder)	Appropriate in length	Neither easy nor difficult	11676.0
70979	70980	I am a developer by profession	Employed full-time	Pakistan			Bachelor’s degree (B.A., B.S., B.Eng., etc.)	18 - 24 years	Other online resources (ex: videos, blogs, etc);Online Forum;Online Courses or Certification;Books / Physical media	3	1	Developer, full-stack	2 to 9 employees	"PKR	Pakistani rupee"	35000.0	Monthly	HTML/CSS;JavaScript;Node.js;PHP;SQL;TypeScript	HTML/CSS;JavaScript;Kotlin;Node.js;PHP;SQL;TypeScript	MySQL;PostgreSQL	DynamoDB;Elasticsearch;MongoDB;PostgreSQL;Redis	AWS;Heroku	AWS	Express;jQuery;Laravel;React.js	Express;Laravel;React.js	React Native	React Native;TensorFlow	Git	Git;Unreal Engine	Visual Studio Code	Vim;Visual Studio Code	Windows	Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Play games	Stack Overflow	Daily or almost daily	No		Yes, somewhat	No	25-34 years old	Man	No	Straight / Heterosexual	South Asian	None of the above	I have a mood or emotional disorder (e.g. depression, bipolar disorder);I have an anxiety disorder	Appropriate in length	Easy	2724.0
71114	71115	I am a developer by profession	Employed full-time	Pakistan			Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)	11 - 17 years	School;Online Forum;Online Courses or Certification;Books / Physical media	5	Less than 1 year	Developer, full-stack	2 to 9 employees	"PKR	Pakistani rupee"	20000.0	Monthly	JavaScript;Node.js;Python;Rust	JavaScript;Node.js;Python;Rust;TypeScript	Firebase;MySQL	Firebase;MongoDB	Google Cloud Platform		React.js	Django;Flask;Gatsby;React.js;Vue.js	NumPy;Pandas;React Native	React Native			Visual Studio Code	Android Studio;Visual Studio Code	Linux-based	Visit Stack Overflow;Google it;Panic	Stack Overflow;Stack Exchange	Daily or almost daily	Yes	I have never participated in Q&A on Stack Overflow	No, not really	No	18-24 years old	Man	No	Straight / Heterosexual	South Asian	Prefer not to say	None of the above	Too long	Neither easy nor difficult	1560.0
71151	71152	I am a developer by profession	Employed full-time	Pakistan			Master’s degree (M.A., M.S., M.Eng., MBA, etc.)	18 - 24 years	Books / Physical media	20	20	Developer, back-end	100 to 499 employees	"PKR	Pakistani rupee"	185000.0	Monthly	C#;HTML/CSS;JavaScript;Python;SQL	HTML/CSS;JavaScript;Node.js;Python;SQL	Microsoft SQL Server;MySQL	Firebase;Microsoft SQL Server;MySQL;Redis			Angular;Django;Flask;jQuery;React.js;Vue.js	Angular;Django;Flask;React.js;Vue.js	.NET Framework;Pandas				PyCharm;Visual Studio;Visual Studio Code	PyCharm;Visual Studio Code	Windows	Visit Stack Overflow;Google it	Stack Overflow	Multiple times per day	Yes	I have never participated in Q&A on Stack Overflow	Yes, definitely	Yes	45-54 years old	Man	No	Straight / Heterosexual	South Asian	None of the above	None of the above	Appropriate in length	Easy	14400.0
